customer_id,customer_since,location,customer_type
C04227,2025-03-19,Avellaneda,empresa
C01208,2024-11-03,Morón,individual
C03399,2023-01-01,San Justo,individual
C00231,2023-07-20,Lanús,empresa
C03871,2020-11-23,Merlo,individual
C00156,2020-11-27,Morón,empresa
C00911,2022-12-08,Tres de Febrero,empresa
C03745,2025-02-21,Tres de Febrero,individual
C01177,2020-01-14,San Justo,empresa
C00702,2021-12-23,Morón,individual
C03059,2023-03-23,Ituzaingó,individual
C00850,2020-02-17,Quilmes,individual
C01435,2024-06-12,Quilmes,empresa
C03750,2023-07-17,Quilmes,empresa
C02586,2021-01-12,Lomas de Zamora,individual
C00300,2025-05-30,Quilmes,individual
C02720,2024-09-03,La Matanza,individual
C03168,2020-01-06,Tres de Febrero,empresa
C00677,2023-04-16,Quilmes,empresa
C00841,2025-05-16,Tres de Febrero,individual
C01366,2022-09-08,Morón,individual
C03564,2024-05-23,Ramos Mejía,empresa
C04204,2025-01-01,Ramos Mejía,empresa
C00286,2024-01-17,Avellaneda,individual
C04647,2025-09-08,Merlo,individual
C00630,2020-05-04,San Justo,individual
C02133,2024-12-06,CABA,individual
C00607,2021-02-03,Lanús,empresa
C02619,2024-01-16,Lomas de Zamora,individual
C01427,2021-12-22,Tres de Febrero,individual
C01940,2024-09-17,Tres de Febrero,individual
C04520,2020-04-21,Merlo,individual
C03922,2024-09-30,Tres de Febrero,individual
C02598,2022-06-09,Morón,individual
C02492,2024-03-08,Merlo,individual
C04251,2024-06-08,Quilmes,individual
C01026,2024-11-06,Ituzaingó,individual
C00233,2022-11-07,Morón,individual
C00249,2023-08-26,Ituzaingó,individual
C03327,2024-12-17,Avellaneda,individual
C03805,2020-03-09,Lomas de Zamora,individual
C02830,2023-08-12,La Matanza,individual
C01004,2024-02-25,Avellaneda,individual
C03147,2021-12-24,Morón,empresa
C01556,2020-06-08,Morón,individual
C03222,2022-05-19,Quilmes,individual
C02305,2024-07-31,Tres de Febrero,empresa
C03531,2025-07-15,CABA,individual
C04672,2022-12-16,Ramos Mejía,individual
C04505,2023-08-04,Lomas de Zamora,individual
C02778,2025-03-01,Ituzaingó,individual
C00330,2025-05-04,Morón,individual
C04967,2021-11-19,Quilmes,individual
C02452,2022-09-16,Lomas de Zamora,individual
C03018,2020-06-07,Ramos Mejía,individual
C00219,2023-02-11,La Matanza,individual
C03613,2025-08-14,Lomas de Zamora,individual
C03864,2021-07-13,Ituzaingó,individual
C03919,2025-10-30,Morón,individual
C02805,2020-02-14,Lomas de Zamora,individual
C02446,2023-07-16,Lanús,individual
C02858,2020-04-02,Avellaneda,individual
C03111,2020-07-30,Morón,individual
C00648,2020-05-25,Tres de Febrero,individual
C02222,2021-11-23,Morón,individual
C01961,2024-09-03,Lomas de Zamora,individual
C03870,2025-11-14,Lanús,individual
C01294,2025-04-15,San Justo,individual
C00485,2021-06-05,Lanús,individual
C01527,2020-10-27,Lanús,individual
C02745,2025-07-09,Tres de Febrero,individual
C03835,2021-03-16,La Matanza,empresa
C02108,2024-09-20,Lanús,individual
C03322,2025-07-17,Tres de Febrero,individual
C01152,2021-05-15,San Justo,individual
C02188,2024-08-09,Lanús,individual
C00509,2022-12-09,Avellaneda,individual
C02548,2022-04-15,Lanús,individual
C01095,2024-07-10,San Justo,individual
C04500,2022-05-10,Lanús,individual
C00671,2023-12-14,Ituzaingó,individual
C04487,2025-07-24,Ituzaingó,individual
C00953,2022-10-07,Avellaneda,empresa
C00456,2020-11-17,Merlo,individual
C02525,2024-09-16,Tres de Febrero,individual
C00599,2024-12-01,Lomas de Zamora,individual
C00566,2021-10-27,Lomas de Zamora,individual
C03444,2025-06-11,Lomas de Zamora,individual
C04418,2020-05-13,San Justo,individual
C01044,2024-11-20,CABA,individual
C04461,2025-03-21,Merlo,individual
C01271,2025-03-07,Merlo,individual
C00129,2021-09-23,Morón,individual
C00399,2023-02-19,Ituzaingó,individual
C00463,2021-07-28,Ramos Mejía,individual
C02613,2025-04-27,Quilmes,individual
C04271,2025-06-22,Ituzaingó,individual
C03123,2020-04-21,CABA,empresa
C04407,2025-08-02,Ituzaingó,individual
C03794,2021-08-26,CABA,individual
C03182,2025-05-02,Ramos Mejía,individual
C03040,2020-02-09,Quilmes,individual
C04940,2025-02-02,Ramos Mejía,empresa
C04579,2023-11-08,CABA,individual
C00126,2022-12-12,San Justo,individual
C01676,2020-05-06,CABA,individual
C02944,2022-11-16,La Matanza,individual
C03847,2021-08-29,Lanús,individual
C01813,2020-05-15,La Matanza,individual
C04091,2023-11-17,Merlo,individual
C04019,2020-04-03,Ituzaingó,individual
C01508,2022-12-13,Ituzaingó,individual
C03379,2020-09-06,San Justo,individual
C04143,2024-04-08,CABA,individual
C03997,2022-09-10,San Justo,individual
C04389,2024-10-20,Merlo,individual
C00790,2022-04-04,Ramos Mejía,individual
C02904,2021-07-20,Ituzaingó,individual
C01993,2023-08-04,Tres de Febrero,individual
C03107,2021-08-16,Tres de Febrero,individual
C00678,2020-07-27,Ramos Mejía,individual
C01883,2022-03-26,Ramos Mejía,individual
C02297,2020-11-10,San Justo,individual
C01698,2024-11-03,Ituzaingó,individual
C01970,2022-10-29,San Justo,individual
C00643,2023-07-29,Ituzaingó,individual
C00623,2022-02-03,Quilmes,empresa
C01522,2023-06-23,CABA,empresa
C02019,2025-03-16,Quilmes,individual
C03644,2020-07-08,La Matanza,individual
C04584,2023-02-24,Morón,individual
C02199,2022-06-17,Quilmes,individual
C03967,2023-02-16,Tres de Febrero,individual
C04865,2023-04-02,Tres de Febrero,individual
C02722,2020-02-25,La Matanza,individual
C04870,2021-07-20,Ramos Mejía,empresa
C01456,2022-04-17,Lomas de Zamora,individual
C01986,2024-04-09,Morón,individual
C04620,2022-04-20,Lanús,individual
C03782,2023-09-17,Tres de Febrero,individual
C03352,2022-10-08,Lomas de Zamora,individual
C03467,2024-04-27,Lanús,individual
C04378,2024-12-04,Quilmes,individual
C00697,2025-03-13,Avellaneda,individual
C03274,2025-01-22,Ituzaingó,individual
C04250,2025-10-19,Ituzaingó,individual
C04822,2022-05-29,Morón,individual
C03408,2023-03-24,San Justo,individual
C02460,2025-08-31,Lomas de Zamora,individual
C01347,2021-12-07,La Matanza,individual
C03786,2022-10-15,Ituzaingó,empresa
C00240,2023-05-11,Tres de Febrero,individual
C02281,2021-10-12,Quilmes,individual
C01615,2020-02-15,Quilmes,individual
C02568,2024-08-18,Lanús,empresa
C00959,2021-02-12,Tres de Febrero,individual
C03144,2025-12-01,Ituzaingó,individual
C04012,2023-01-10,Lomas de Zamora,individual
C02942,2020-07-12,Tres de Febrero,individual
C04141,2021-10-21,Ramos Mejía,individual
C01371,2025-05-24,La Matanza,individual
C01842,2023-10-16,San Justo,individual
C00928,2025-03-24,Morón,individual
C00341,2025-09-17,Lanús,individual
C02028,2020-07-24,Avellaneda,individual
C03597,2022-03-24,Tres de Febrero,individual
C05000,2020-12-05,Morón,individual
C04361,2020-05-07,Ituzaingó,individual
C04692,2022-02-27,Quilmes,empresa
C00486,2024-08-30,La Matanza,individual
C02639,2025-09-27,San Justo,individual
C03074,2021-07-07,Lomas de Zamora,individual
C03024,2020-11-15,Morón,individual
C03756,2023-08-21,San Justo,empresa
C04053,2021-08-31,Tres de Febrero,individual
C03976,2024-09-19,Ituzaingó,individual
C01295,2022-09-22,San Justo,individual
C01081,2020-12-14,La Matanza,individual
C03047,2023-08-09,San Justo,individual
C00748,2024-09-05,La Matanza,individual
C03646,2024-10-05,Ramos Mejía,individual
C03914,2021-12-07,Morón,individual
C02567,2024-03-03,Tres de Febrero,empresa
C01091,2022-09-08,Merlo,individual
C01746,2023-04-06,Lomas de Zamora,individual
C01147,2022-11-30,San Justo,individual
C01146,2022-11-14,Merlo,individual
C04978,2025-05-18,Ramos Mejía,individual
C01684,2024-03-26,La Matanza,individual
C04328,2021-02-11,CABA,individual
C03448,2020-05-22,Quilmes,individual
C00113,2022-05-20,Merlo,individual
C02347,2023-02-20,Quilmes,individual
C01251,2020-06-09,Ituzaingó,individual
C01273,2022-08-10,Ituzaingó,individual
C03584,2021-08-01,Merlo,individual
C04988,2020-09-17,Ramos Mejía,individual
C00093,2022-10-26,Merlo,individual
C01040,2024-09-16,Ituzaingó,individual
C02229,2021-11-18,Avellaneda,individual
C04185,2021-02-01,San Justo,individual
C02090,2024-07-08,Merlo,individual
C00290,2022-09-12,San Justo,individual
C02621,2022-05-16,Avellaneda,individual
C01470,2024-10-03,Lomas de Zamora,individual
C02313,2024-08-05,Ramos Mejía,individual
C04619,2021-03-09,Lanús,individual
C01601,2024-03-11,Lanús,empresa
C04437,2025-10-30,Ituzaingó,individual
C03083,2025-07-07,Lanús,individual
C00491,2021-07-27,Avellaneda,individual
C04258,2021-03-26,CABA,individual
C01094,2022-01-19,San Justo,individual
C02390,2020-07-25,Avellaneda,individual
C02228,2022-08-02,Merlo,individual
C01274,2023-08-22,CABA,individual
C01701,2022-11-23,Avellaneda,individual
C02493,2024-08-10,Lomas de Zamora,individual
C02915,2024-12-19,Ramos Mejía,individual
C03313,2021-11-10,Quilmes,individual
C03282,2024-02-17,Lomas de Zamora,individual
C00529,2025-07-13,Merlo,individual
C02717,2023-05-09,Ramos Mejía,individual
C03236,2021-08-18,Quilmes,individual
C01534,2022-08-29,Ituzaingó,individual
C02014,2024-06-25,Ituzaingó,individual
C02292,2025-12-02,Merlo,individual
C02042,2025-12-10,Tres de Febrero,individual
C03971,2023-09-02,La Matanza,empresa
C04892,2022-03-11,CABA,individual
C02929,2021-09-10,Quilmes,individual
C01424,2022-06-01,La Matanza,individual
C04847,2021-09-13,Ituzaingó,individual
C01543,2020-01-24,Merlo,individual
C02792,2021-05-09,Morón,individual
C01161,2021-10-02,Lanús,empresa
C03241,2024-01-21,CABA,empresa
C03579,2021-11-18,Merlo,individual
C02924,2020-06-23,CABA,individual
C04649,2025-04-22,Morón,individual
C04633,2025-07-09,Lanús,individual
C02618,2024-01-12,Quilmes,individual
C02751,2022-11-07,Lomas de Zamora,individual
C02103,2023-05-20,CABA,individual
C01363,2023-05-06,Tres de Febrero,empresa
C03928,2021-01-14,Ramos Mejía,individual
C00274,2023-07-20,Lomas de Zamora,individual
C01394,2023-04-17,Ituzaingó,individual
C03955,2024-09-29,Quilmes,individual
C02713,2021-08-15,Quilmes,individual
C02307,2024-09-11,Lomas de Zamora,individual
C04022,2022-10-02,Lomas de Zamora,individual
C04917,2022-12-31,Ituzaingó,individual
C00672,2020-07-10,Tres de Febrero,individual
C02171,2022-02-10,Lomas de Zamora,individual
C01529,2022-11-11,Merlo,individual
C02201,2020-04-01,Lanús,empresa
C02817,2024-01-20,La Matanza,individual
C04387,2021-05-28,Lomas de Zamora,individual
C00285,2022-05-31,Lomas de Zamora,empresa
C01370,2021-11-09,Morón,individual
C03567,2020-11-18,San Justo,individual
C00549,2024-04-06,Avellaneda,individual
C00102,2025-12-07,Lomas de Zamora,individual
C04774,2021-05-17,Ituzaingó,individual
C02164,2024-05-14,Ramos Mejía,empresa
C03302,2022-10-24,Ituzaingó,individual
C00404,2023-11-24,Lomas de Zamora,individual
C04028,2022-07-05,CABA,individual
C02629,2022-09-06,CABA,individual
C03336,2025-07-22,Ramos Mejía,individual
C00538,2024-07-10,Avellaneda,individual
C04659,2024-08-10,Avellaneda,individual
C02044,2023-01-27,CABA,individual
C04005,2024-04-17,Avellaneda,individual
C02119,2023-07-15,Ramos Mejía,individual
C01756,2024-08-21,Quilmes,individual
C00073,2025-07-30,La Matanza,individual
C02503,2021-10-01,La Matanza,individual
C03824,2021-10-07,Tres de Febrero,individual
C03066,2020-10-19,Merlo,individual
C02755,2020-02-24,Avellaneda,empresa
C02448,2021-05-04,Ituzaingó,individual
C04916,2025-04-13,La Matanza,individual
C02422,2023-02-03,CABA,individual
C04687,2021-05-16,Ramos Mejía,individual
C02937,2022-12-02,Avellaneda,individual
C00800,2023-10-16,Lomas de Zamora,empresa
C02750,2022-04-26,CABA,empresa
C02715,2021-10-29,Morón,individual
C04781,2023-02-11,Morón,empresa
C03127,2025-02-01,Avellaneda,individual
C01641,2023-12-01,Ramos Mejía,individual
C00663,2022-01-17,Avellaneda,individual
C02241,2024-01-01,CABA,individual
C03518,2023-05-30,Merlo,individual
C03057,2023-05-08,Ituzaingó,individual
C02039,2021-03-16,San Justo,individual
C04823,2024-08-29,Morón,individual
C03735,2022-06-15,Merlo,individual
C02808,2023-05-11,Tres de Febrero,individual
C03305,2020-09-29,Ituzaingó,individual
C04831,2025-03-27,La Matanza,empresa
C00162,2021-02-13,Tres de Febrero,individual
C02071,2024-01-06,Avellaneda,individual
C02467,2025-11-03,Ramos Mejía,individual
C01124,2024-02-15,CABA,individual
C01628,2024-11-28,Avellaneda,individual
C00323,2022-12-31,Morón,individual
C00105,2025-04-05,Lomas de Zamora,individual
C00615,2024-03-20,Ramos Mejía,individual
C00818,2024-11-06,La Matanza,individual
C00950,2024-07-13,Ramos Mejía,individual
C02693,2023-10-01,Avellaneda,individual
C03160,2021-09-13,Ramos Mejía,individual
C01306,2024-08-06,CABA,individual
C01071,2024-07-17,Ramos Mejía,individual
C02144,2024-05-20,Tres de Febrero,empresa
C04253,2021-12-23,Merlo,individual
C02833,2021-05-14,Ramos Mejía,individual
C03845,2023-12-29,La Matanza,individual
C02279,2022-03-22,Lanús,individual
C00646,2023-05-10,Avellaneda,empresa
C00973,2024-11-19,Lanús,individual
C04499,2025-02-18,Tres de Febrero,empresa
C03738,2022-05-07,Ituzaingó,empresa
C04589,2020-06-15,Avellaneda,individual
C01817,2022-04-23,Lomas de Zamora,individual
C04277,2023-05-07,Avellaneda,individual
C03353,2020-07-17,Ituzaingó,individual
C01767,2022-10-03,Ramos Mejía,individual
C04824,2024-10-18,CABA,empresa
C00036,2025-07-13,La Matanza,individual
C04165,2025-07-14,Ramos Mejía,individual
C04920,2023-08-29,Tres de Febrero,individual
C02034,2022-07-31,Morón,individual
C01132,2020-04-15,La Matanza,individual
C01087,2024-04-06,Quilmes,individual
C04675,2020-12-26,San Justo,individual
C04283,2020-10-16,Quilmes,individual
C02418,2020-05-14,La Matanza,individual
C04603,2021-03-23,Ramos Mejía,empresa
C02357,2023-10-26,Tres de Febrero,individual
C02562,2025-09-16,CABA,individual
C03630,2024-07-18,Morón,individual
C01586,2022-09-21,Lanús,individual
C01066,2021-08-02,Quilmes,individual
C01269,2020-04-16,Lomas de Zamora,individual
C02468,2024-01-16,Lomas de Zamora,empresa
C01802,2023-01-22,Lanús,individual
C02956,2022-12-26,San Justo,individual
C01998,2024-02-12,Ramos Mejía,individual
C03162,2025-05-25,Avellaneda,individual
C03072,2025-01-31,Merlo,individual
C00675,2022-04-15,Merlo,individual
C03476,2023-06-29,Ramos Mejía,individual
C02718,2021-09-24,Avellaneda,individual
C00578,2023-10-07,Merlo,individual
C03548,2021-06-03,Avellaneda,empresa
C00519,2023-01-12,Quilmes,empresa
C02469,2022-07-22,Merlo,individual
C03883,2024-09-17,La Matanza,individual
C04471,2025-07-26,Quilmes,empresa
C03229,2021-10-21,Quilmes,individual
C04497,2023-05-09,Morón,individual
C01618,2021-11-27,Merlo,individual
C00820,2020-05-04,Ramos Mejía,empresa
C02690,2021-07-10,Merlo,individual
C01382,2023-06-27,Lomas de Zamora,individual
C02945,2024-08-21,Avellaneda,individual
C02299,2022-03-10,CABA,individual
C04834,2022-12-22,Ramos Mejía,individual
C01218,2023-06-30,CABA,empresa
C02384,2020-08-13,CABA,individual
C04636,2022-02-15,CABA,individual
C03995,2020-12-14,Ituzaingó,empresa
C04243,2021-03-31,Lanús,individual
C02655,2024-11-16,Morón,individual
C04671,2022-07-02,Avellaneda,individual
C00638,2020-08-10,Morón,individual
C02891,2022-12-02,Morón,individual
C01139,2021-03-28,Tres de Febrero,individual
C01231,2025-12-24,CABA,individual
C02706,2025-03-24,La Matanza,individual
C03367,2023-10-13,Ituzaingó,empresa
C04200,2023-10-19,San Justo,individual
C04233,2023-02-13,Lanús,individual
C02323,2021-02-22,Morón,individual
C03366,2025-03-02,Quilmes,individual
C00136,2023-10-12,Tres de Febrero,individual
C03899,2021-02-14,Quilmes,individual
C04944,2023-06-09,Morón,individual
C03515,2024-04-07,La Matanza,individual
C04720,2023-11-22,Morón,individual
C00687,2021-05-20,CABA,empresa
C00059,2024-09-07,Ramos Mejía,individual
C02588,2025-01-20,San Justo,empresa
C02141,2024-07-03,Tres de Febrero,individual
C03386,2022-02-13,CABA,individual
C02079,2023-08-10,Lomas de Zamora,individual
C00976,2021-11-17,Avellaneda,individual
C02773,2025-11-20,Merlo,empresa
C00747,2023-02-10,Avellaneda,individual
C00656,2020-05-29,Tres de Febrero,empresa
C04269,2022-10-21,Ramos Mejía,individual
C04050,2023-12-05,CABA,individual
C01596,2020-06-14,Ramos Mejía,individual
C00003,2022-11-28,Lanús,individual
C04581,2020-05-10,CABA,individual
C01594,2022-10-06,Morón,individual
C04577,2023-01-21,CABA,individual
C02112,2025-02-25,Merlo,individual
C02113,2021-12-10,Morón,individual
C02893,2022-04-14,Tres de Febrero,individual
C03269,2021-11-10,Tres de Febrero,individual
C02205,2022-08-21,Lomas de Zamora,individual
C02175,2022-10-21,Quilmes,individual
C01278,2025-01-24,Lanús,empresa
C04436,2025-03-20,Lanús,individual
C04021,2021-01-06,CABA,empresa
C03226,2025-12-04,San Justo,individual
C00097,2020-03-11,Lanús,empresa
C02998,2024-06-05,Lanús,individual
C02991,2025-05-16,Quilmes,individual
C01873,2023-05-01,Quilmes,individual
C03121,2022-06-25,Lomas de Zamora,individual
C01102,2020-07-25,CABA,individual
C04652,2025-08-20,CABA,individual
C03904,2025-05-16,Avellaneda,individual
C04961,2020-02-27,Ramos Mejía,empresa
C04182,2021-09-09,La Matanza,individual
C03800,2022-06-06,Tres de Febrero,individual
C00585,2022-10-22,Quilmes,individual
C02192,2025-07-31,Ramos Mejía,individual
C03689,2025-12-22,CABA,empresa
C02062,2023-11-02,Lomas de Zamora,empresa
C03877,2024-03-17,Ramos Mejía,individual
C03631,2022-01-29,Tres de Febrero,individual
C02665,2022-04-15,Morón,empresa
C04896,2022-04-03,Tres de Febrero,individual
C02845,2025-12-07,Ituzaingó,individual
C03377,2023-11-29,Morón,individual
C01117,2024-08-07,Morón,individual
C03909,2024-06-21,Lomas de Zamora,individual
C04491,2022-06-27,Ituzaingó,individual
C01338,2025-09-21,La Matanza,individual
C01120,2022-08-11,CABA,empresa
C02627,2024-10-16,Merlo,individual
C00838,2025-06-21,Morón,individual
C01235,2020-10-15,San Justo,individual
C04083,2023-10-30,Lanús,individual
C01197,2024-01-02,CABA,individual
C02049,2020-04-12,Quilmes,individual
C03629,2024-11-04,Lomas de Zamora,individual
C04270,2020-09-13,Quilmes,individual
C00346,2023-04-10,Ituzaingó,individual
C02953,2021-10-31,Lomas de Zamora,individual
